id;anio;titulo;subtitulo_div;categoria;relevancia;slug;post_url;pdf_url;archivo;bytes;paginas;chars;estado
2702;2022;Ord.004.022 Por la cual se amplia el presupuesto de ingresos y egresos inclusion final de Saldo Inicial de Caja Fonacide;ORDENANZA  2022;Ordenanzas Junta Municipal 2022;;ord004022-por-la-cual-se-amplia-el-presupuesto-de-ingresos-y-egresos-inclusion-final-de-saldo-inicial-de-caja-fonacide;https://mcde.gov.py/post/ord004022-por-la-cual-se-amplia-el-presupuesto-de-ingresos-y-egresos-inclusion-final-de-saldo-inicial-de-caja-fonacide;https://mcde.gov.py/api/v1/public/file/cec79909f052282c8e8d540e708590b5c4fce301d220f35a3b86d5a1;03_PDF_Originales/2022/2702_ord004022-por-la-cual-se-amplia-el-presupuesto-de-ingresos-y-egresos-inclusion-final-de-sa.pdf;263038;3;5345;ok
2703;2022;Ord.006.022 Por la cual se nombra plaza municipal del microcentro barrio catedral mujeres paraguayas;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord006022-por-la-cual-se-nombra-plaza-municipal-del-microcentro-barrio-catedral-mujeres-paraguayas;https://mcde.gov.py/post/ord006022-por-la-cual-se-nombra-plaza-municipal-del-microcentro-barrio-catedral-mujeres-paraguayas;https://mcde.gov.py/api/v1/public/file/36bca7bd7cf2356dd11f44e058f487eff8c77974c8be91bdaa8a2c8e;03_PDF_Originales/2022/2703_ord006022-por-la-cual-se-nombra-plaza-municipal-del-microcentro-barrio-catedral-mujeres-pa.pdf;155882;1;3493;ok
2704;2022;Ord.005.022 NUEVO COSTO DEL PASAJE DEL SERVICIO DE TRANSPORTE DE PASAJERO DE CARACTER URBANO_20220224;OREDENAZA 2022;Ordenanzas Junta Municipal 2022;;ord005022-nuevo-costo-del-pasaje-del-servicio-de-transporte-de-pasajero-de-caracter-urbano20220224;https://mcde.gov.py/post/ord005022-nuevo-costo-del-pasaje-del-servicio-de-transporte-de-pasajero-de-caracter-urbano20220224;https://mcde.gov.py/api/v1/public/file/55c38ea5d5feeb4b53c8e0c9825af85b8567c438f3cdf9927f73eac9;03_PDF_Originales/2022/2704_ord005022-nuevo-costo-del-pasaje-del-servicio-de-transporte-de-pasajero-de-caracter-urbano.pdf;152379;1;3454;ok
2705;2022;Ord.007.022 Saldo final de caja Royalties;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord007022-saldo-final-de-caja-royalties;https://mcde.gov.py/post/ord007022-saldo-final-de-caja-royalties;https://mcde.gov.py/api/v1/public/file/c48574097201d2a7b806095b4f1d94de3f8b49ac32a8e9c9564b6f7b;03_PDF_Originales/2022/2705_ord007022-saldo-final-de-caja-royalties.pdf;295157;3;6874;ok
2706;2022;Ord.008.022 Que modifica el anexo personal y el presupuesto vigente para crear nuevos cargos y crear_20220329;ORDENANAZA 2022;Ordenanzas Junta Municipal 2022;;ord008022-que-modifica-el-anexo-personal-y-el-presupuesto-vigente-para-crear-nuevos-cargos-y-crear20220329;https://mcde.gov.py/post/ord008022-que-modifica-el-anexo-personal-y-el-presupuesto-vigente-para-crear-nuevos-cargos-y-crear20220329;https://mcde.gov.py/api/v1/public/file/486dfd8cd41ca3f881935015f84e38c4cbd2df00b75a3a4dbaa2bd32;03_PDF_Originales/2022/2706_ord008022-que-modifica-el-anexo-personal-y-el-presupuesto-vigente-para-crear-nuevos-cargos.pdf;279007;2;6194;ok
2707;2022;Ord.009.022 Por la cual se modifica el Art. 1,5,6 y amplia Art. 6 de la Ord. 23.93 sobre reglamentacion de patios baldios;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord009022-por-la-cual-se-modifica-el-art-156-y-amplia-art-6-de-la-ord-2393-sobre-reglamentacion-de-patios-baldios;https://mcde.gov.py/post/ord009022-por-la-cual-se-modifica-el-art-156-y-amplia-art-6-de-la-ord-2393-sobre-reglamentacion-de-patios-baldios;https://mcde.gov.py/api/v1/public/file/2e98ade8bfafdf1d7850fd610f8465d9001ea403bf9ba5ac890fc7c0;03_PDF_Originales/2022/2707_ord009022-por-la-cual-se-modifica-el-art-156-y-amplia-art-6-de-la-ord-2393-sobre-reglament.pdf;333554;2;8361;ok
2708;2022;Ord.010.022 Por la cual se amplia la Ord. 043.21 9.4 art. 163 Tributaria Municipal;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord010022-por-la-cual-se-amplia-la-ord-04321-94-art-163-tributaria-municipal;https://mcde.gov.py/post/ord010022-por-la-cual-se-amplia-la-ord-04321-94-art-163-tributaria-municipal;https://mcde.gov.py/api/v1/public/file/8e2f1b2aa615311508e91ac9befffcffb1c869f8616adf89dc495700;03_PDF_Originales/2022/2708_ord010022-por-la-cual-se-amplia-la-ord-04321-94-art-163-tributaria-municipal.pdf;163374;1;3307;ok
2709;2022;Ord.011.022 Por la cual se modifica la Ord. 003.22 que modifica la 43.2021 J.M. Tributaria Municipal_0;ORDENANAZA 2022;Ordenanzas Junta Municipal 2022;;ord011022-por-la-cual-se-modifica-la-ord-00322-que-modifica-la-432021-jm-tributaria-municipal0;https://mcde.gov.py/post/ord011022-por-la-cual-se-modifica-la-ord-00322-que-modifica-la-432021-jm-tributaria-municipal0;https://mcde.gov.py/api/v1/public/file/c4122f5fc3a635d834072e1bd2b024752ffd45ec95076bfe6ee7c466;03_PDF_Originales/2022/2709_ord011022-por-la-cual-se-modifica-la-ord-00322-que-modifica-la-432021-jm-tributaria-munici.pdf;966019;8;19184;ok
2710;2022;Ord.012.022 Por la cual se deroga los precios referenciales por construcción de empedrado;ORDENANAZA 2022;Ordenanzas Junta Municipal 2022;;ord012022-por-la-cual-se-deroga-los-precios-referenciales-por-construccion-de-empedrado;https://mcde.gov.py/post/ord012022-por-la-cual-se-deroga-los-precios-referenciales-por-construccion-de-empedrado;https://mcde.gov.py/api/v1/public/file/dab04c5df397bc97d2e28d7db9438904613dedf13da17ae363f37649;03_PDF_Originales/2022/2710_ord012022-por-la-cual-se-deroga-los-precios-referenciales-por-construccion-de-empedrado.pdf;311032;2;7482;ok
2711;2022;Ord.013.022 Por la cual se modifica parcialmente la ordenanza 02.2022 y la 19.2005 Que crea el Consejo de Superintendencia juzgados de faltas;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord013022-por-la-cual-se-modifica-parcialmente-la-ordenanza-022022-y-la-192005-que-crea-el-consejo-de-superintendencia-juzgados-de-faltas;https://mcde.gov.py/post/ord013022-por-la-cual-se-modifica-parcialmente-la-ordenanza-022022-y-la-192005-que-crea-el-consejo-de-superintendencia-juzgados-de-faltas;https://mcde.gov.py/api/v1/public/file/777bf567058f78811c9f84c9de39f0d4f764aa02dee4e1d6b550d287;03_PDF_Originales/2022/2711_ord013022-por-la-cual-se-modifica-parcialmente-la-ordenanza-022022-y-la-192005-que-crea-el.pdf;274007;2;5924;ok
2712;2022;Ord.014.022 Por la cual se amplia la ord. 09.2017 que reconoce patrimonio historico cultural y natur_1;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord014022-por-la-cual-se-amplia-la-ord-092017-que-reconoce-patrimonio-historico-cultural-y-natur1;https://mcde.gov.py/post/ord014022-por-la-cual-se-amplia-la-ord-092017-que-reconoce-patrimonio-historico-cultural-y-natur1;https://mcde.gov.py/api/v1/public/file/9359ac1adb681dc065b5f38055f82d3f17ac0fdad5c5ae08e5beca7e;03_PDF_Originales/2022/2712_ord014022-por-la-cual-se-amplia-la-ord-092017-que-reconoce-patrimonio-historico-cultural-y.pdf;253008;3;4683;ok
2713;2022;Ord.015.022 Por la cual se declara patrimonio historico cultural Biblioteca Municipal;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord015022-por-la-cual-se-declara-patrimonio-historico-cultural-biblioteca-municipal;https://mcde.gov.py/post/ord015022-por-la-cual-se-declara-patrimonio-historico-cultural-biblioteca-municipal;https://mcde.gov.py/api/v1/public/file/3f33ad0d6e63b1f503115ba2689017d807d1e1a1387880aa75657f21;03_PDF_Originales/2022/2713_ord015022-por-la-cual-se-declara-patrimonio-historico-cultural-biblioteca-municipal.pdf;147577;1;3396;ok
2714;2022;Ord.016.022 Por la Cual se denomina como Prof. Neri Gianotti Añazco la calle del barrio San Rafael;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord016022-por-la-cual-se-denomina-como-prof-neri-gianotti-anazco-la-calle-del-barrio-san-rafael;https://mcde.gov.py/post/ord016022-por-la-cual-se-denomina-como-prof-neri-gianotti-anazco-la-calle-del-barrio-san-rafael;https://mcde.gov.py/api/v1/public/file/02358015641a8423a5fa1f1818d9caebcf716b8ddc5e4292aa4621a0;03_PDF_Originales/2022/2714_ord016022-por-la-cual-se-denomina-como-prof-neri-gianotti-anazco-la-calle-del-barrio-san-r.pdf;142702;1;3030;ok
2715;2022;Ord.017.022 Por la cual se crea el registro de promotores locales de turismo de compra y servicios;ORDENANAZA 2022;Ordenanzas Junta Municipal 2022;;ord017022-por-la-cual-se-crea-el-registro-de-promotores-locales-de-turismo-de-compra-y-servicios;https://mcde.gov.py/post/ord017022-por-la-cual-se-crea-el-registro-de-promotores-locales-de-turismo-de-compra-y-servicios;;;0;0;0;sin_pdf
2716;2022;Ord.018.022 Por la cual se establece el sistema de numeración domiciliaria en Ciudad del Este y el m_0;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord018022-por-la-cual-se-establece-el-sistema-de-numeracion-domiciliaria-en-ciudad-del-este-y-el-m0;https://mcde.gov.py/post/ord018022-por-la-cual-se-establece-el-sistema-de-numeracion-domiciliaria-en-ciudad-del-este-y-el-m0;https://mcde.gov.py/api/v1/public/file/08cbff098f9a238e04b82e8ece5d6ecb1d267adf731b92c284dc7dd4;03_PDF_Originales/2022/2716_ord018022-por-la-cual-se-establece-el-sistema-de-numeracion-domiciliaria-en-ciudad-del-est.pdf;521708;4;14247;ok
