pilar,x,y,AZ,P18,P17,P16,P15,P14,P13,P12,P11,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,PB,S1,S2,S3
P34_3,34.0,3.0,221.5,479.3,737.2,995.0,1252.9,1510.7,1768.6,2037.3,2306.0,2574.8,2843.5,3112.2,3381.0,3662.3,3943.6,4224.9,4506.1,4787.4,5068.7,5410.0,5715.0,6020.1,6325.2
P34_10,34.0,10.0,423.1,908.7,1394.2,1879.8,2365.3,2850.9,3336.4,3832.8,4329.3,4825.7,5322.1,5818.6,6315.0,6824.0,7333.0,7842.0,8351.0,8860.0,9369.0,9970.4,10509.7,11049.0,11588.3
P34_17,34.0,17.0,480.8,1031.4,1582.0,2132.6,2683.2,3233.8,3784.4,4345.9,4907.3,5468.8,6030.3,6591.8,7153.3,7727.3,8301.4,8875.4,9449.5,10023.5,10597.6,11273.4,11879.6,12485.8,13092.0
P34_26,34.0,26.0,480.8,1031.4,1582.0,2132.6,2683.2,3233.8,3784.4,4345.9,4907.3,5468.8,6030.3,6591.8,7153.3,7727.3,8301.4,8875.4,9449.5,10023.5,10597.6,11273.4,11879.6,12485.8,13092.0
P34_33,34.0,33.0,423.1,908.7,1394.2,1879.8,2365.3,2850.9,3336.4,3832.8,4329.3,4825.7,5322.1,5818.6,6315.0,6824.0,7333.0,7842.0,8351.0,8860.0,9369.0,9970.4,10509.7,11049.0,11588.3
P34_40,34.0,40.0,221.5,479.3,737.2,995.0,1252.9,1510.7,1768.6,2037.3,2306.0,2574.8,2843.5,3112.2,3381.0,3662.3,3943.6,4224.9,4506.1,4787.4,5068.7,5410.0,5715.0,6020.1,6325.2
P41_3,41.0,3.0,223.2,483.1,742.9,1002.8,1262.6,1522.4,1782.3,2053.0,2323.7,2594.4,2865.2,3135.9,3406.6,3689.9,3973.2,4256.5,4539.8,4823.1,5106.3,5449.8,5757.0,6064.1,6371.2
P41_10,41.0,10.0,426.7,916.2,1405.7,1895.2,2384.8,2874.3,3363.8,3864.2,4364.7,4865.1,5365.5,5865.9,6366.3,6879.3,7392.3,7905.2,8418.2,8931.2,9444.2,10050.2,10593.5,11136.9,11680.3
P41_17,41.0,17.0,484.8,1040.0,1595.1,2150.3,2705.4,3260.6,3815.7,4381.7,4947.8,5513.8,6079.9,6645.9,7211.9,7790.5,8369.1,8947.7,9526.3,10104.9,10683.5,11364.5,11975.4,12586.3,13197.2
P41_26,41.0,26.0,484.8,1040.0,1595.1,2150.3,2705.4,3260.6,3815.7,4381.7,4947.8,5513.8,6079.9,6645.9,7211.9,7790.5,8369.1,8947.7,9526.3,10104.9,10683.5,11364.5,11975.4,12586.3,13197.2
P41_33,41.0,33.0,426.7,916.2,1405.7,1895.2,2384.8,2874.3,3363.8,3864.2,4364.7,4865.1,5365.5,5865.9,6366.3,6879.3,7392.3,7905.2,8418.2,8931.2,9444.2,10050.2,10593.5,11136.9,11680.3
P41_40,41.0,40.0,223.2,483.1,742.9,1002.8,1262.6,1522.4,1782.3,2053.0,2323.7,2594.4,2865.2,3135.9,3406.6,3689.9,3973.2,4256.5,4539.8,4823.1,5106.3,5449.8,5757.0,6064.1,6371.2
P49_3,49.0,3.0,223.2,483.1,742.9,1002.8,1262.6,1522.4,1782.3,2053.0,2323.7,2594.4,2865.2,3135.9,3406.6,3689.9,3973.2,4256.5,4539.8,4823.1,5106.3,5449.8,5757.0,6064.1,6371.2
P49_10,49.0,10.0,426.7,916.2,1405.7,1895.2,2384.8,2874.3,3363.8,3864.2,4364.7,4865.1,5365.5,5865.9,6366.3,6879.3,7392.3,7905.2,8418.2,8931.2,9444.2,10050.2,10593.5,11136.9,11680.3
P49_17,49.0,17.0,484.8,1040.0,1595.1,2150.3,2705.4,3260.6,3815.7,4381.7,4947.8,5513.8,6079.9,6645.9,7211.9,7790.5,8369.1,8947.7,9526.3,10104.9,10683.5,11364.5,11975.4,12586.3,13197.2
P49_26,49.0,26.0,484.8,1040.0,1595.1,2150.3,2705.4,3260.6,3815.7,4381.7,4947.8,5513.8,6079.9,6645.9,7211.9,7790.5,8369.1,8947.7,9526.3,10104.9,10683.5,11364.5,11975.4,12586.3,13197.2
P49_33,49.0,33.0,426.7,916.2,1405.7,1895.2,2384.8,2874.3,3363.8,3864.2,4364.7,4865.1,5365.5,5865.9,6366.3,6879.3,7392.3,7905.2,8418.2,8931.2,9444.2,10050.2,10593.5,11136.9,11680.3
P49_40,49.0,40.0,223.2,483.1,742.9,1002.8,1262.6,1522.4,1782.3,2053.0,2323.7,2594.4,2865.2,3135.9,3406.6,3689.9,3973.2,4256.5,4539.8,4823.1,5106.3,5449.8,5757.0,6064.1,6371.2
P56_3,56.0,3.0,221.6,479.6,737.6,995.6,1253.6,1511.6,1769.6,2038.5,2307.4,2576.3,2845.2,3114.0,3382.9,3664.4,3945.8,4227.3,4508.7,4790.2,5071.6,5413.0,5718.3,6023.5,6328.7
P56_10,56.0,10.0,423.4,909.3,1395.1,1881.0,2366.8,2852.7,3338.5,3835.3,4332.0,4828.7,5325.5,5822.2,6318.9,6828.2,7337.5,7846.8,8356.1,8865.4,9374.7,9976.5,10516.1,11055.7,11595.3
P56_17,56.0,17.0,481.1,1032.0,1583.0,2133.9,2684.9,3235.8,3786.8,4348.6,4910.5,5472.3,6034.1,6596.0,7157.8,7732.2,8306.6,8881.0,9455.4,10029.8,10604.2,11280.4,11887.0,12493.5,13100.1
P56_26,56.0,26.0,481.1,1032.0,1583.0,2133.9,2684.9,3235.8,3786.8,4348.6,4910.5,5472.3,6034.1,6596.0,7157.8,7732.2,8306.6,8881.0,9455.4,10029.8,10604.2,11280.4,11887.0,12493.5,13100.1
P56_33,56.0,33.0,423.4,909.3,1395.1,1881.0,2366.8,2852.7,3338.5,3835.3,4332.0,4828.7,5325.5,5822.2,6318.9,6828.2,7337.5,7846.8,8356.1,8865.4,9374.7,9976.5,10516.1,11055.7,11595.3
P56_40,56.0,40.0,221.6,479.6,737.6,995.6,1253.6,1511.6,1769.6,2038.5,2307.4,2576.3,2845.2,3114.0,3382.9,3664.4,3945.8,4227.3,4508.7,4790.2,5071.6,5413.0,5718.3,6023.5,6328.7
P64_3,63.88,3.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P64_10,63.88,10.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P64_17,63.88,17.0,508.1,1089.5,1670.9,2252.3,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P64_26,63.88,26.0,508.1,1089.5,1670.9,2252.3,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P64_33,63.88,33.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P64_40,63.88,40.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P72_3,71.75,3.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.5,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P72_10,71.75,10.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P72_17,71.75,17.0,508.0,1089.4,1670.8,2252.2,2833.6,3415.0,3996.4,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P72_26,71.75,26.0,508.0,1089.4,1670.8,2252.2,2833.6,3415.0,3996.4,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P72_33,71.75,33.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P72_40,71.75,40.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.5,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P80_3,79.63,3.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P80_10,79.63,10.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P80_17,79.63,17.0,508.1,1089.5,1670.9,2252.3,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P80_26,79.63,26.0,508.1,1089.5,1670.9,2252.3,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P80_33,79.63,33.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P80_40,79.63,40.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P88_3,87.5,3.0,126.5,277.2,427.9,578.5,729.2,879.8,1030.5,1192.0,1353.6,1515.1,1676.7,1838.2,1999.8,2173.9,2348.0,2522.1,2696.2,2870.3,3044.4,3263.2,3458.0,3652.8,3847.6
P88_10,87.5,10.0,233.3,504.4,775.6,1046.8,1317.9,1589.1,1860.3,2142.3,2424.4,2706.5,2988.5,3270.6,3552.6,3847.2,4141.9,4436.5,4731.1,5025.7,5320.3,5676.8,5995.6,6314.3,6633.1
P88_17,87.5,17.0,263.8,569.4,875.0,1180.6,1486.2,1791.8,2097.4,2413.9,2730.3,3046.8,3363.3,3679.8,3996.3,4325.3,4654.4,4983.4,5312.5,5641.5,5970.6,6366.4,6720.6,7074.8,7429.0
P88_26,87.5,26.0,263.8,569.4,875.0,1180.6,1486.2,1791.8,2097.4,2413.9,2730.3,3046.8,3363.3,3679.8,3996.3,4325.3,4654.4,4983.4,5312.5,5641.5,5970.6,6366.4,6720.6,7074.8,7429.0
P88_33,87.5,33.0,233.3,504.4,775.6,1046.8,1317.9,1589.1,1860.3,2142.3,2424.4,2706.5,2988.5,3270.6,3552.6,3847.2,4141.9,4436.5,4731.1,5025.7,5320.3,5676.8,5995.6,6314.3,6633.1
P88_40,87.5,40.0,126.5,277.2,427.9,578.5,729.2,879.8,1030.5,1192.0,1353.6,1515.1,1676.7,1838.2,1999.8,2173.9,2348.0,2522.1,2696.2,2870.3,3044.4,3263.2,3458.0,3652.8,3847.6
