Magnitud;Manual (ACI/NBR);PyNite (FEM)
M(-) apoyo int. (kN.m);60.232675781249995;-60.23267578125001
M(+) tramo (kN.m);33.88088012695312;33.880880126953116
V max (kN);38.242968749999996;38.24296875
Flecha ELS (mm);6.213072364671577;6.231329662957311
